 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , MIA06CA027 ,12/11/2005," Wiersdale, FL ",29.033333,-81.033333, NONE , Love Landing , Non-Fatal , Substantial , Airplane , N99009 , Ercoupe (Eng & Research Corp.) , 415C ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,3/28/2006
 Accident , LAX06CA062 ,12/10/2005," Los Angeles, CA ",34.259444,-118.413333, WHP , WHITEMAN , Non-Fatal , Substantial , Airplane , N4403K , Ryan , Navion ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAXI ,4/25/2006
 Accident , DEN06CA022 ,12/10/2005," Lawrence, KS ",39.011667,-95.216667, LWC , LAWRENCE MUNI , Non-Fatal , Substantial , Airplane , N1053X , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , TAKEOFF ,3/28/2006
 Accident , SEA06CA025 ,12/9/2005," Prineville, OR ",44.286944,-120.903889, S39 , Prineville Airport , Non-Fatal , Substantial , Airplane , N2584S , Piper , PA-18-150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,4/25/2006
 Accident , CHI06CA054 ,12/8/2005," Rockford, IL ",42.195277,-89.097222, RFD , Greater Rockford , Non-Fatal , Substantial , Airplane , N2196B , Piper , PA-44-180 ,2, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,3/28/2006
 Accident , LAX06CA047 ,12/7/2005," Minden, NV ",39.000556,-119.750556, MEV , Minden-Tahoe Airport , Non-Fatal , Substantial , Airplane , N251BP , North American , P-51D ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,3/28/2006
 Accident , CHI06CA042 ,12/7/2005," Pierre, SD ",44.382778,-100.286111, PIR , Pierre Regional , Non-Fatal , Substantial , Airplane , N8403F , Cessna , 310Q ,2, Reciprocating , Part 135: Air Taxi & Commuter , NSCH ,  , Air Max Airlines ,,,,1, VMC , LANDING ,3/28/2006
 Accident , ATL06CA033 ,12/6/2005," Waycross, GA ",31.248889,-82.395277, KAYS , Waycross-Ware County Airport , Non-Fatal , Substantial , Airplane , N1689F , Cessna , 172H ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,4/25/2006
 Accident , DEN06CA021 ,12/4/2005," Lansing, KS ",39.227223,-94.951111,  ,  , Non-Fatal , Substantial , Airplane , N123F , Cessna , 182E ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,3,, VMC , DESCENT ,3/28/2006
 Accident , LAX06CA050 ,12/1/2005," China Lake, CA ",35.686666,-117.697777,  ,  , Non-Fatal , Substantial , Airplane , N6004X , Mooney , M20A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,, VMC , CRUISE ,3/28/2006
 Accident , SEA06CA024 ,11/30/2005," Lopez Island, WA ",48.483889,-122.9375, S31 , LOPEZ ISLAND , Non-Fatal , Substantial , Airplane , N1876Z , Cessna , 210-5 ,1, Reciprocating , Part 91: General Aviation ,  , Unknown ,  ,,,,3, VMC , APPROACH ,3/28/2006
 Accident , ATL06CA020 ,11/30/2005," Sanford, NC ",35.583611,-79.100278,  ,  , Non-Fatal , Substantial , Airplane , N46555 , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,2/28/2006
 Accident , DFW06CA034 ,11/28/2005," Kirbyville, TX ",30.643611,-93.914722, T12 , Kirbyville Airport , Non-Fatal , Substantial , Airplane , N761FL , Cessna , 210M ,1, Reciprocating , Part 91: General Aviation ,  , Aerial Observation ,  ,,,,1, VMC , TAKEOFF ,3/28/2006
 Accident , SEA06CA030 ,11/26/2005," Auburn, WA ",47.316667,-122.216667, S5O , Auburn Muni , Non-Fatal , Substantial , Airplane , N7692B , Bellanca , 14-19-2 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,4/25/2006
 Accident , SEA06CA020 ,11/25/2005," Heber City, UT ",40.481945,-111.428889, 36U , Heber City Municipal Airport , Non-Fatal , Substantial , Airplane , N1528D , Cessna , 195A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,2/28/2006
 Accident , LAX06CA052 ,11/24/2005," Holbrook, AZ ",34.945277,-110.141666, P14 , HOLBROOK MUNICIPAL AIRPORT , Non-Fatal , Substantial , Airplane , N6005X , Beech , C23 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,3/28/2006
 Accident , LAX06CA045 ,11/24/2005," Panamint Spring, CA ",36.58,-117.998333,  ,  , Non-Fatal , Substantial , Airplane , N8091H , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,2/28/2006
 Accident , NYC06CA037 ,11/23/2005," Maceo, KY ",37.830556,-87.005556,  ,  , Non-Fatal , Substantial , Airplane , N26708 , Grumman , AA5A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,3/28/2006
