 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , LAX07CA255 ,8/16/2007," Heber, UT ",40.466667,-11.416667, 36U , Heber City Municipal Airport , Non-Fatal , Substantial , Airplane , N7947R , Beech , D55 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,11/29/2007
 Accident , DFW07CA196 ,8/16/2007," Atoka, OK ",34.4,-96.15, F80 , ATOKA MUNI , Non-Fatal , Substantial , Airplane , N1682W , Interplane , Skyboy ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,3/31/2008
 Accident , ANC07MA083 ,8/16/2007," Ketchikan, AK ",55.7,-131.633333,  ,  , Fatal(5) , Destroyed , Airplane , N345KA , de Havilland , DHC-2 ,1, Reciprocating , Part 135: Air Taxi & Commuter , NSCH ,  ,  ,5,4,,, VMC , MANEUVERING ,12/9/2008
 Accident , LAX07CA252 ,8/15/2007," Olympia, WA ",46.969445,-122.9025, OLM , Olympia Airport , Non-Fatal , Substantial , Airplane , N4084N , Cessna , 140 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , LAX07CA251 ,8/15/2007," Coeur D'Alene, ID ",47.774445,-116.819723, COE , Coeur D'Alene Air Terminal , Non-Fatal , Substantial , Airplane , N756MN , Cessna , R182 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,3, VMC , LANDING ,11/29/2007
 Accident , DFW07CA213 ,8/15/2007," Tunica, MS ",34.676389,-90.341666,  ,  , Non-Fatal , Substantial , Airplane , N7906W , Piper , PA-28-180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,12/20/2007
 Accident , ATL07CA118 ,8/15/2007," Front Royal, VA ",38.917223,-78.252222, KFRR , Front Royal-Warren County Airp , Non-Fatal , Substantial , Airplane , N6455R , Piper , PA28-140 ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , SEA07CA235 ,8/14/2007," Seattle, WA ",47.616667,-122.266667,  ,  , Non-Fatal , Substantial , Airplane , N7657X , CESSNA , 172B ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , TAKEOFF ,4/6/2009
 Accident , LAX07CA250 ,8/14/2007," Page, AZ ",36.926111,-111.433333, PGA , PAGE MUNI , Non-Fatal , Substantial , Airplane , N3464S , Cessna , 182H ,1, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , TAXI ,11/29/2007
 Accident , LAX07CA249 ,8/14/2007," Moab, UT ",38.755,-109.754722, UT75 , MINERAL CANYON STRIP AIRPORT , Non-Fatal , Substantial , Airplane , C-GTHY , Aviat , Husky A-1B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,11/29/2007
 Accident , ATL07CA114 ,8/14/2007," Nantucket, MA ",41.251944,-70.056111, ACK , Nantucket Memorial Airport , Non-Fatal , Substantial , Airplane , N801TS , Waco Classic Aircraft Corp , YMF-5 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,8/30/2007
 Accident , DFW07CA182 ,8/13/2007," Montrose, PA ",41.788889,-75.89, P32 , Husky Haven , Non-Fatal , Substantial , Airplane , N71162 , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , DEN07CA154 ,8/13/2007," Fort Collins, CO ",40.451667,-105.011111, FNL , Fort Collins-Loveland Municipa , Non-Fatal , Substantial , Airplane , N249FS , Cessna , 172R ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , SEA07CA230 ,8/12/2007," San Diego, CA ",32.826111,-116.9725, SEE , Gillespie Field , Non-Fatal , Substantial , Airplane , N1031D , Cessna , 195 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,11/29/2007
 Accident , SEA07CA229 ,8/12/2007," Newberg, OR ",45.295555,-122.955278, 2S6 , Sportsman Airpark , Non-Fatal , Substantial , Airplane , N8058J , Quicksilver Manufacturing , GT-500 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,1,,, VMC , MANEUVERING ,11/29/2007
 Accident , CHI07CA268 ,8/12/2007," Cooksville, IL ",40.897222,-88.713889,  ,  , Non-Fatal , Substantial , Airplane , N61352 , Air Tractor , AT-502B ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , TAKEOFF ,10/31/2007
 Accident , CHI07CA265 ,8/12/2007," Hicksville, OH ",41.265278,-84.8,  ,  , Non-Fatal , Substantial , Airplane , N6837U , Mooney , M20-C ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , SEA07CA232 ,8/11/2007," San Diego, CA ",32.815556,-117.139722, MYF , Montgomery Field , Non-Fatal , Substantial , Airplane , N336SR , Cirrus Design Corp. , SR22 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , LANDING ,11/29/2007
 Accident , CHI07CA269 ,8/11/2007," Kellys Island, OH ",41.604722,-82.685277, 89D , Kellys Island , Non-Fatal , Substantial , Airplane , N6087U , Aviat Inc , A-1 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , CHI07CA276 ,8/10/2007," Hindsboro, IL ",39.630556,-88.130556,  ,  , Non-Fatal , Substantial , Airplane , N68N , Golden Eagle , Chief ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,10/31/2007
 Accident , CHI07CA264 ,8/10/2007," Jasper, MN ",43.718334,-96.429167,  ,  , Non-Fatal , Substantial , Airplane , N52998 , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,10/31/2007
 Accident , CHI07CA263 ,8/10/2007," Princeton, MN ",45.559722,-93.608056, PNM , Princeton Municipal , Non-Fatal , Substantial , Airplane , N2311C , Cessna , 180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,1, VMC , CRUISE ,12/20/2007
 Accident , CHI07CA261 ,8/10/2007," Fort Wayne, IN ",40.978334,-85.195, FWA , Fort Wayne , Non-Fatal , Substantial , Airplane , N3794Y , Cessna , 210 D ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , APPROACH ,10/31/2007
 Accident , SEA07CA226 ,8/9/2007," Waterville, WA ",47.656111,-120.056389, 2S5 , Waterville Airport , Non-Fatal , Destroyed , Airplane , N8802E , Eagle Aircraft Co. , Eagle DW-1 ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , TAKEOFF ,11/29/2007
 Accident , SEA07CA225 ,8/9/2007," Bremerton, WA ",47.490277,-122.764722, PWT , Bremerton , Non-Fatal , Substantial , Airplane , N1298M , Cessna , 182P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,11/29/2007
 Accident , CHI07CA267 ,8/9/2007," Hazelton, ND ",46.482778,-100.271945,  ,  , Non-Fatal , Substantial , Airplane , N16535 , Snow , S-2C ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , MANEUVERING ,10/31/2007
 Accident , CHI07CA259 ,8/9/2007," Creston, IA ",41.021945,-94.3625,  ,  , Non-Fatal , Substantial , Airplane , N9195G , Air Tractor , AT-502 ,1, Turbo Prop , Part 137: Agricultural ,  , Ferry ,  ,,,,1, VMC , CRUISE ,10/31/2007
 Accident , NYC07LA187 ,8/8/2007," Chamblee, GA ",33.936944,-84.270834,  ,  , Non-Fatal , Substantial , Airplane , N969CB , CESSNA , T337G ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,2,,, VMC , CLIMB ,12/24/2008
 Accident , DFW07CA181 ,8/8/2007," Garden City, TX ",31.819445,-101.478889,  ,  , Non-Fatal , Substantial , Airplane , N4827J , Cessna , A188B ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,1,,, VMC , MANEUVERING ,10/31/2007
 Accident , CHI07CA270 ,8/8/2007," Chesterfield, MO ",38.661944,-90.653333, SUS , Spirit of St Louis Airport , Non-Fatal , Substantial , Airplane , N201LE , Mooney , M20J ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAXI ,10/31/2007
 Accident , CHI07CA262 ,8/8/2007," Bloomington, IN ",39.145833,-86.616667, BMG , Bloomington , Non-Fatal , Substantial , Airplane , N1837Y , Beech , BE-77 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,10/31/2007
 Accident , ANC07CA076 ,8/8/2007," Talkeetna, AK ",62.323056,-150.083333,  ,  , Non-Fatal , Substantial , Airplane , N56366 , Maule , M-5-235 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , APPROACH ,12/20/2007
 Accident , SEA07CA224 ,8/7/2007," Oceanside, CA ",33.218056,-117.351389, OKB , Oceanside Municipal , Non-Fatal , Substantial , Airplane , N968J , Cessna , 421B ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,11/29/2007
 Accident , ANC07CA075 ,8/7/2007," Skwentna, AK ",61.666667,-151.533333,  ,  , Non-Fatal , Substantial , Airplane , N7741A , Cessna , 180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,10/31/2007
 Accident , LAX07CA242 ,8/6/2007," Sisters, OR ",44.304444,-121.539166, 6K5 , Sisters , Non-Fatal , Substantial , Airplane , N7604X , Cessna , 172B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , GO-AROUND ,10/31/2007
 Accident , ANC07CA074 ,8/6/2007," King Salmon, AK ",58.666667,-156.633333,  ,  , Non-Fatal , Substantial , Airplane , N39302 , Piper , PA-18 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,12/20/2007
 Accident , LAX07CA244 ,8/5/2007," Jean, NV ",35.766667,-115.328334, 0L7 , Jean , Non-Fatal , Substantial , Airplane , N9ET , Beech , 36 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , CRUISE ,10/31/2007
 Accident , DEN07MA134 ,8/5/2007," Ruidoso, NM ",33.459167,-105.453333, SRR , Sierra Blanca Regional , Fatal(5) , Destroyed , Airplane , N369CD , Beech , E90B ,2, Turbo Prop , Part 135: Air Taxi & Commuter , NSCH ,  ,  ,5,,,, VMC , MANEUVERING ,12/28/2008
 Accident , CHI07CA258 ,8/5/2007," Westerly, RI ",41.349444,-71.803333, WST , Westerly State , Non-Fatal , Substantial , Airplane , N65HM , Aeronca , 7AC ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , CHI07CA250 ,8/5/2007," Vinton, IA ",42.22,-92.031111,  ,  , Non-Fatal , Destroyed , Airplane , N48558 , Grumman , G-164A ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Observation ,  ,,,1,, VMC , MANEUVERING ,10/31/2007
 Accident , LAX07CA243 ,8/4/2007," Big Creek, ID ",45.133056,-115.321945, U60 , Big Creek , Non-Fatal , Substantial , Airplane , N9356K , Piper , PA-34-200T ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , LAX07CA248 ,8/3/2007," Elk River, ID ",46.800278,-116.166667, ID85 , Elk River Airport , Non-Fatal , Substantial , Airplane , N27166 , Grumman American , AA5A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,10/31/2007
 Accident , LAX07CA232 ,8/3/2007," Eagle Point, OR ",42.468889,-122.719167, MFR , FELTS FIELD , Non-Fatal , Substantial , Airplane , N919CA , Piper , PA-28-180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , CRUISE ,11/29/2007
 Accident , CHI07CA253 ,8/1/2007," Duluth, MN ",46.721945,-92.043333, DYT , RICHARD B HELGESON , Non-Fatal , Substantial , Airplane , N5016E , Cessna , 180A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,8/30/2007
 Accident , CHI07CA248 ,8/1/2007," Bismark, ND ",46.801667,-100.679167,  ,  , Non-Fatal , Substantial , Airplane , N529R , Beech , B60 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,10/31/2007
 Accident , ANC07CA072 ,8/1/2007," Anaktuvuk Pass, AK ",68.687777,-151.880834,  ,  , Non-Fatal , Substantial , Airplane , N40832 , Piper , PA-18 ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,1, VMC , APPROACH ,11/29/2007
 Accident , NYC07CA181 ,7/31/2007," Winchester, VA ",39.375556,-78.307222, 9VG9 , Jucapa Farms Airport , Non-Fatal , Substantial , Airplane , N2893G , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,11/29/2007
 Accident , NYC07CA179 ,7/31/2007," Montauk, NY ",41.076389,-71.920556, MTK , Montauk Airport , Non-Fatal , Substantial , Airplane , N284HP , Piper , PA-28-181 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , GO-AROUND ,10/31/2007
 Accident , SEA07CA222 ,7/30/2007," St. George, UT ",37.095277,-113.599444, SGU , ST GEORGE MUNI , Non-Fatal , Substantial , Airplane , N416SM , Piper , PA-18-150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , LAX07CA246 ,7/30/2007," Challis, ID ",44.820278,-114.421111, NONE , Private Airstrip , Non-Fatal , Substantial , Airplane , N705BH , Found Aircraft Canada Inc , FBA-2C1 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , APPROACH ,10/31/2007
 Accident , DFW07CA174 ,7/30/2007," Garwood, TX ",30.5375,-96.524167,  ,  , Non-Fatal , Destroyed , Airplane , N9298R , Cessna , A188B ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , TAKEOFF ,10/31/2007
 Accident , MIA07CA128 ,7/29/2007," Valkaria, FL ",27.953056,-80.559722, KX59 , Valkaria Airport , Non-Fatal , Substantial , Airplane , N87026 , Engineering & Research , Ercoupe 415-C ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,2,, VMC , APPROACH ,10/31/2007
 Accident , CHI07CA245 ,7/29/2007," New Hudson, MI ",42.503056,-83.623611, Y47 , New Hudson , Non-Fatal , Substantial , Airplane , N222UN , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,8/30/2007
 Accident , SEA07CA219 ,7/28/2007," Arco, ID ",43.605556,-113.334722, NONE , Off Airport , Non-Fatal , Substantial , Airplane , N3446C , Cessna , 170 B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,11/29/2007
 Accident , LAX07CA237 ,7/28/2007," Redlands, CA ",34.085277,-117.145555, L12 , REDLANDS MUNICIPAL AIRPORT , Non-Fatal , Substantial , Airplane , N8973A , Beech , C35 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,1,, VMC , APPROACH ,10/31/2007
 Accident , CHI07CA239 ,7/28/2007," Cook, MN ",47.825,-92.695277,  ,  , Non-Fatal , Substantial , Airplane , N22198 , Cessna , 150H ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,10/31/2007
 Accident , NYC07CA185 ,7/27/2007," Wallkill, NY ",41.627778,-74.133611, N45 , Kobelt Airport , Non-Fatal , Substantial , Airplane , N435A , Beech , 65-A90 ,2, Turbo Prop , Part 91: General Aviation ,  , Business ,  ,,,,3, VMC , LANDING ,10/31/2007
 Accident , CHI07CA236 ,7/27/2007," Berryville, AR ",36.391111,-93.629723, 4M1 , Carroll County , Non-Fatal , Substantial , Airplane , N5094P , Piper , PA-24-180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,8/30/2007
 Accident , CHI07CA234 ,7/27/2007," Georgetown, OH ",38.881945,-83.882778, GEO , Brown County , Non-Fatal , Substantial , Airplane , N2306L , Beech , 23 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,8/30/2007
 Accident , SEA07CA215 ,7/26/2007," Chino, CA ",33.974445,-117.636389, KCNO , Chino Airport , Non-Fatal , Substantial , Airplane , N919BD , Cessna , 305-C ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , NYC07LA177 ,7/26/2007," Science Hill, KY ",37.201389,-84.593611,  ,  , Fatal(1) , Substantial , Airplane , N2354J , BEECH , BE-23 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, VMC , CRUISE ,7/28/2009
 Accident , DEN07CA128 ,7/26/2007," Grand Junction, CO ",39.125834,-108.533334, GJT , Walker Field , Non-Fatal , Substantial , Airplane , N1049V , Cessna , 182T ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,8/30/2007
 Accident , CHI07CA247 ,7/26/2007," Kansas City, MO ",39.123334,-94.591944,  ,  , Non-Fatal , Substantial , Airplane , N197T , Piper , PA-18-135 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,11/29/2007
 Accident , CHI07CA231 ,7/26/2007," Sturtevant, WI ",42.703056,-87.958889, C89 , Sylvania , Non-Fatal , Substantial , Airplane , N613KP , Beech , A36 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,5, VMC , LANDING ,8/30/2007
 Accident , ATL07CA109 ,7/26/2007," Newport, RI ",41.526111,-71.275556, UUU , NEWPORT STATE ARPT , Non-Fatal , Substantial , Airplane , N51250 , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,3/31/2008
 Accident , ATL07CA108 ,7/26/2007," Shirley, NY ",40.819723,-72.866667, HWV , BROOKHAVEN , Non-Fatal , Substantial , Airplane , N604EV , Evektor Aerotechnic , Sportstar ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , GO-AROUND ,3/31/2008
 Accident , DFW07CA177 ,7/25/2007," Kirbyville, TX ",30.642777,-93.850278, 999 , Private Airstrip , Non-Fatal , Substantial , Airplane , N9870B , Aeronca , Champion ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,8/30/2007
 Accident , SEA07CA216 ,7/24/2007," Baker City, OR ",44.837222,-117.808889, BKE , BAKER CITY MUNICIPAL , Non-Fatal , Substantial , Airplane , N7380S , Cessna , 182P ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,2, VMC , LANDING ,10/31/2007
 Accident , SEA07CA211 ,7/24/2007," McCall, ID ",44.898611,-116.105, MYL , MC CALL , Non-Fatal , Substantial , Airplane , N176AZ , Artic Aircraft Corp. , S-1B2 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , CHI07CA228 ,7/24/2007," Oshkosh, WI ",43.984444,-88.556944,  ,  , Non-Fatal , Substantial , Airplane , N377CT , Flight Design , CTSW ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,10/31/2007
 Accident , LAX07CA230 ,7/23/2007," Yellow Pine, ID ",44.912222,-115.485555, 3U2 , Johnson Creek Airport , Non-Fatal , Substantial , Airplane , N6056Y , Beech , V35B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,11/29/2007
 Accident , LAX07CA226 ,7/23/2007," Taylor, AZ ",34.452778,-110.114722, TYL , Taylor Airport , Non-Fatal , Destroyed , Airplane , N6005X , Beech , C23 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , CHI07CA230 ,7/23/2007," Walnut Ridge, AR ",36.1425,-90.836666, PVT , Wilson's Flying Service , Non-Fatal , Substantial , Airplane , N8402K , Gulfstream-Schweizer , Gulfstream AM G-164B ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,1,, VMC , TAKEOFF ,8/30/2007
 Accident , CHI07CA227 ,7/23/2007," Prophetstown, IL ",41.666667,-90.083333,  ,  , Non-Fatal , Substantial , Airplane , N628JP , Air Tractor , AT-602 ,1, Turbo Prop , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , CRUISE ,12/20/2007
 Accident , CHI07CA226 ,7/22/2007," Harvey, ND ",47.791111,-99.931667, ND17 , Harvey Muni , Non-Fatal , Substantial , Airplane , C-FWBN , Hamilton , Rotorway Exec 90 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,10/31/2007
 Accident , CHI07CA225 ,7/22/2007," Coldwater, MI ",41.933611,-85.0525, OEB , Branch County , Non-Fatal , Substantial , Airplane , N59220 , Ryan , ST3KR ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,1,1,, VMC , TAKEOFF ,10/31/2007
 Accident , DEN07CA126 ,7/21/2007," Crested Butte, CO ",38.851667,-106.932778, 0CO2 , Crested Butte , Non-Fatal , Substantial , Airplane , N602BC , Found Aircraft Canada Inc , FBA-2C2 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , LANDING ,8/30/2007
 Accident , LAX07CA224 ,7/20/2007," Woodland, CA ",38.673889,-121.871945, O41 , WATTS-WOODLAND , Non-Fatal , Substantial , Airplane , N531M , Cessna , 150M ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,1,1, VMC , APPROACH ,10/31/2007
 Accident , CHI07CA251 ,7/20/2007," Scribner, NE ",41.610278,-96.63, SCB , Scribner State , Non-Fatal , Substantial , Airplane , N4802H , Piper , PA-17 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , CHI07CA223 ,7/20/2007," Chadron, NE ",42.833333,-102.99, CDR , Chadron Muni , Non-Fatal , Substantial , Airplane , N714Q , Bush Caddy USA , LSA ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,1, VMC , LANDING ,8/30/2007
 Accident , CHI07CA220 ,7/20/2007," West Liberty, IA ",41.586111,-91.220278, 4IA2 , Walker Field , Non-Fatal , Substantial , Airplane , N8490K , Schweizer , G-164B ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,1,, VMC , TAKEOFF ,8/30/2007
 Accident , CHI07CA222 ,7/19/2007," Waldron, MO ",39.230556,-94.804167, 06MO , Noahs Ark , Non-Fatal , Substantial , Airplane , N5571G , Cessna , 150J ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , GO-AROUND ,8/30/2007
 Accident , SEA07CA207 ,7/18/2007," Pahokee, FL ",26.785,-80.693333, KPHK , Pahokee , Non-Fatal , Substantial , Airplane , N907JW , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,10/31/2007
 Accident , NYC07CA169 ,7/18/2007," Vero Beach, FL ",27.655556,-80.429445, VRB , Vero Beach , Non-Fatal , Substantial , Airplane , N93574 , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , LAX07CA228 ,7/18/2007," San Luis Obispo, CA ",35.220278,-120.6475, SBP , SAN LUIS OBISPO COUNTY-MC CHES , Non-Fatal , Substantial , Airplane , N599CA , DTA Sari , Combo FC 912 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,10/31/2007
 Accident , NYC07CA165 ,7/17/2007," Uxbridge, MA ",42.166667,-71.1,  ,  , Non-Fatal , Destroyed , Airplane , N7088H , Piper , J3C-65 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,10/31/2007
 Accident , CHI07CA218 ,7/16/2007," New Hartford, MO ",39.15,-91.216667,  ,  , Non-Fatal , Substantial , Airplane , N4412Q , Cessna , 188A ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , MANEUVERING ,8/30/2007
 Accident , SEA07CA221 ,7/15/2007," Stanley, ID ",44.208611,-114.934444, 2U7 , Stanley , Non-Fatal , Substantial , Airplane , N6561B , Britten-Norman , BN-2A-20 ,2, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , TAKEOFF ,11/29/2007
 Accident , SEA07CA206 ,7/15/2007," Ontario, OR ",44.022778,-117.022778, ONO , ONTARIO MUNI , Non-Fatal , Substantial , Airplane , N7474L , Piper , PA-18-150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
 Accident , SEA07CA198 ,7/15/2007," Leadore, ID ",44.673889,-113.353056, U00 , Leadore , Non-Fatal , Substantial , Airplane , N2625G , Cessna , 182B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , TAKEOFF ,10/31/2007
 Accident , NYC07LA168 ,7/15/2007," E.Stroudsburg, PA ",41.04,-75.173334, N53 , Stroudsburg-Pocono Airport , Non-Fatal , Substantial , Airplane , N7389J , PIPER , PA-28-140 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,0,1,0,0, VMC , APPROACH ,12/24/2008
 Accident , DFW07CA163 ,7/15/2007," Throckmorton, TX ",33.173056,-99.121667,  ,  , Non-Fatal , Substantial , Airplane , N13441 , Cessna , 172M ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , DESCENT ,11/29/2007
 Accident , CHI07CA214 ,7/15/2007," Sheldon, IL ",40.8,-87.529445,  ,  , Non-Fatal , Substantial , Airplane , N8449K , Grumman , G-164B ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,1,, VMC , TAKEOFF ,10/31/2007
 Accident , CHI07CA209 ,7/15/2007," Lignite, ND ",48.166667,-102.916667,  ,  , Non-Fatal , Substantial , Airplane , N8841S , Air Tractor , AT-301 ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,1,,, VMC , MANEUVERING ,10/31/2007
 Accident , ATL07CA105 ,7/15/2007," Beverly, MA ",42.583889,-70.909722, BVY , BEVERLY MUNI , Non-Fatal , Substantial , Airplane , N13151 , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,10/31/2007
