date,type,registration,operator,fat.,location,Column1,pic,cat
6/3/2004,Antonov An-2TP,UR-07194,Atlant,0,"near Genichesk, K...",,,A1
6/7/2004,Antonov An-26B,ST-ARO,Ababeel Aviation,0,Geneina Airp...,,,A1
6/16/2004,Fokker F-27 Friendship 200,AP-AUR,PIA,0,Chitral Airp...,,,A1
6/20/2004,Douglas DC-3-455,HK-1212,VIARCO,0,Las Gaviotas...,,,A1
6/23/2004,Dornier 228-201,TF-ELH,Islandsflug,0,Siglufjördur...,,,A1
6/26/2004,Antonov An-12BP,ST-SAT,Sarit Airlines,0,Wau Airport ...,,,A1
6/30/2004,Beech 200 Super King Air,N432FA,Frontline Aviation,0,Green Bay-Au...,,,A1
7/4/2004,DHC-6 Twin Otter 300,C-FMOL,North-Wright Airways,0,"Canol Road, ...",,,A1
7/9/2004,Antonov An-2SX,RA-02230,Kostroma Air Enterprise,0,Yaroslavl Ai...,,,A1
1/1/2005,Cessna 551 Citation II/SP,N35403,Jet Services,0,Ainsworth Ai...,,,A1
1/4/2005,Boeing 737-2A9C,PK-YGM,Tri-MG Airlines,0,Banda Aceh-B...,,,A1
1/8/2005,DC-9-83 (MD-83),VP-BGI,Aero República,0,Cali-Alfonso...,,,A1
1/9/2005,Grumman American G-1159 Gulfstream,N74RQ,"CFS Air, op.for Icon Health and Fitness",0,Logan-Cache ...,,,A1
1/21/2005,Cessna 208B Grand Caravan,CP-2412,Línea Aérea Amaszonas,0,near Colquiri,,,A1
1/22/2005,Antonov An-8,EL-WVA,GLBC,0,Kongolo,,,A1
1/24/2005,Boeing 747-212BSF,N808MC,Atlas Air,0,Düsseldorf A...,,,A1
1/25/2005,Dornier 228-101,D-CICE,Alfred Wegener Inst.,0,Rothera Station,,,A1
1/28/2005,Learjet 35A,N911AE,Million Air,0,Kansas City-...,,,A1
1/31/2005,Cessna 208B Super Cargomaster,SE-KYH,NTD Air Cargo,0,Helsinki-Van...,,,A1
2/2/2005,Canadair Challenger 600,N370V,"DDH Aviation, op.for Platinum Jet Management",0,Teterboro Ai...,,,A1
2/13/2005,Dassault Falcon 20C,PR-SUL,Táxi Aéreo Pinhal,0,Aruba-Reina ...,,,A1
2/21/2005,Hawker Siddeley HS-125-600A,N21SA,Scott Aviation,0,Bromont Airp...,,,A1
2/22/2005,Convair CV-580,FAB-73,TAM,0,Trinidad Air...,,,A1
2/27/2005,Beech 200 Super King Air,N988SC,Trust Aviation,0,near Aguachina,,,A1
3/4/2005,Antonov An-24B,EY-46399,Trans Air Congo,0,Impfondo Air...,,,A1
3/8/2005,BAe-125-700A,N703TS,Hawker 700 Holding Co.,0,Teterboro Ai...,,,A1
3/9/2005,Cessna 208B Grand Caravan,V3-HFW,Tropic Air,0,near Belize City ...,,,A1
3/19/2005,Boeing 707-3K1C,9G-IRL,"Cargo Plus Aviation, op.for Ethiopian Airlines",0,Entebbe Airp...,,,A1
3/25/2005,Antonov An-2R,UR-17998,Mariupol'sky Metallurgical Combine,0,near Sakhanka,,,A1
3/28/2005,Ilyushin Il-18D-40,CU-T1539,Aerocaribbean,0,Caracas-Simo...,,,A1
3/29/2005,Cessna 208B Grand Caravan,PT-MPA,Penta,0,Itaituba-Faz...,,,A1
3/30/2005,Swearingen SA227-AC Metro III,N811BC,IBC Airways,0,Miami-Dade C...,,,A1
3/31/2005,Antonov An-12B,UN-11007,"Irbis, op.for Air BAS Transportation",0,Mukalla-Al-R...,,,A1
4/7/2005,Fokker F-28 Fellowship 4000,HC-CDA,ICARO,0,Coca Airport...,,,A1
4/18/2005,Beech B200 Catpass 250,OB-1700,Aero Condor,0,near Lima-Jorge C...,,,A1
4/21/2005,Embraer EMB-110P2 Bandeirante,DQ-AFP,Air Fiji,0,Savusavu Air...,,,A1
4/24/2005,Antonov An-2,,Ulyanovsk ROSTO,0,Bagay-Barano...,,,A1
4/25/2005,Antonov An-12BP,UN-11003,ATMA Airlines,0,Kabul Airpor...,,,A1
4/25/2005,Antonov An-2R,RA-40490,Aviakhim,0,near Verkhnyaya K...,,,A1
5/1/2005,DHC-8-103,LN-WIK,Widerøes Flyveselskap,0,Hammerfest A...,,,A1
5/10/2005,DC-9-51,N763NC,Northwest Airlines,0,Minneapolis-...,,,A1
5/10/2005,Swearingen SA226-TC Metro II,C-FKEX,Perimeter Aviation,0,Thompson Air...,,,A1
5/16/2005,BN-2A-26 Islander,C6-ASA,Flamingo Air Charter,0,near Exuma Intern...,,,A1
5/20/2005,Dassault Falcon 20C,RA-09007,Jet 2000,0,Moskva-Shere...,,,A1
6/2/2005,Let L-410UVP-E3,TG-TAG,TAG,0,near Zacapa Airport,,,A1
6/4/2005,DHC-6 Twin Otter 200,N3434,AerOhio,0,"near Rittman, OH",,,A1
6/6/2005,Douglas DC-3A,HK-3462,TARI,0,near Miraflores A...,,,A1
6/8/2005,Saab 340A,N40SZ,"United Express, opb Shuttle America",0,Washington-D...,,,A1
6/10/2005,Hawker Siddeley HS-780 Andover C.1,5Y-SFE,748 Air Services,0,Lokichoggio ...,,,A1
6/10/2005,Lockheed L-100-30 Hercules,S9-BAS,"UN, opb Transafrik",0,Lokichoggio ...,,,A1
6/13/2005,Douglas Super R4D-8 (DC-3S),N3906J,Air Pony Express,0,near Fort Lauderd...,,,A1
1/5/2006,Douglas C-54G (DC-4),C-GXKN,Buffalo Airways,0,Norman Wells...,,,A1
1/5/2006,Beech A100 King Air,N700NC,North Country Aviation,0,Sault Ste Ma...,,,A1
1/24/2006,Antonov An-12A,9Q-CER,Aerolift,0,Mbuji-Mayi A...,,,A1
??-JAN-2006,BAe 3102 Jetstream 31,HH-DPL,Caribintair,0,Cap Haitien ...,,,A1
2/1/2006,Cessna 500 Citation I,N814ER,Flite Services,0,Burnsville-M...,,,A1
2/8/2006,DC-8-71F,N748UP,UPS,0,Philadelphia...,,,A1
2/15/2006,Dassault Falcon 20C-5,F-OVJR,Develton,0,Kiel-Holtena...,,,A1
3/4/2006,DC-9-82 (MD-82),PK-LMW,Lion Air,0,Surabaya-Jua...,,,A1
3/5/2006,Cessna 208B Grand Caravan,YV-1149C,SASCA,0,Arekuna,,,A1
3/10/2006,Lockheed L-1329-23E JetStar 8,N116DD,private,0,Dallas-Love ...,,,A1
3/11/2006,ATR 72-212A (ATR 72-500),VT-DKC,Air Deccan,0,Bangalore-Hi...,,,A1
3/17/2006,Hawker Siddeley HS-748,5Y-TCA,Trackmark Cargo,0,Old Fangak,,,A1
3/22/2006,Learjet 35,N58EM,Bankair,0,Philadelphia...,,,A1
3/23/2006,Antonov An-24B,ER-AZZ,Valan Int'l Cargo,0,Nasiriyah-Ta...,,,A1
3/28/2006,Antonov An-12BK,EK46741,Phoenix Avia,0,near Payam Airpor...,,,A1
3/29/2006,Ilyushin Il-62M,5A-DKR,"Libyan Government, opb Libavia",0,Moskva-Domod...,,,A1
4/3/2006,Lockheed C-5B Galaxy,84-0059,USAF,0,"Dover AFB, D...",,,A1
4/20/2006,Rockwell Sabreliner 75A,JY-JAS,Jordan Aviation,0,Alexandria A...,,,A1
5/4/2006,Boeing 727-2F2F,9M-TGA,Transmile Air Service,0,Bangalore-Hi...,,,A1
5/18/2006,Shorts 330-200,N937MA,Air Cargo Carriers,0,Myrtle Beach...,,,A1
5/24/2006,Lockheed Hercules C.1P (C-130K),XV206,RAF,0,Bost/Lashkar...,,,A1
5/24/2006,IAI 1124 Westwind,N475AT,Air Trek,0,George Town-...,,,A1
5/24/2006,Antonov An-2R,SP-FLY,Aerogryf Aviation,0,near Krepsko,,,A1
6/1/2006,BAe 3101 Jetstream 31EP,HP-1477PS,Air Panamá,0,Bocas Del To...,,,A1
6/3/2006,Dornier 328JET-300,N328PD,"East Coast Flight Svc, op.for Private Air Charters",0,Manassas Reg...,,,A1
6/4/2006,DC-10-10F,N68047,Arrow Air,0,Managua Inte...,,,A1
6/5/2006,CASA/Nurtanio NC-212 Aviocar,PK-NCL,Merpati Nusantara,0,Bandanaira A...,,,A1
6/7/2006,Boeing 747-2U3BSF,N922FT,Tradewinds,0,Rionegro/Med...,,,A1
6/15/2006,Boeing 737-301F,OO-TND,TNT Airways,0,East Midland...,,,A1
6/22/2006,Excel-Jet Sport-Jet,N350SJ,Excel-Jet,0,Colorado Spr...,,,A1
1/9/2007,BAe 3112 Jetstream 31,C-FBIP,Peace Air,0,Fort St. Joh...,,,A1
1/10/2007,Learjet 35A,N40AN,AirNet Systems,0,"near Columbus, OH",,,A1
1/13/2007,Boeing 737-230C,PK-RPX,"RPX Airlines, op.for Gading Sari Aviation Services",0,Kuching Airp...,,,A1
1/17/2007,Douglas C-54G (DC-4),N82FA,Brooks Air Fuel,0,"near Nenana, AK",,,A1
1/24/2007,Cessna 550 Citation II,N492AT,Air Trek,0,Butler Count...,,,A1
1/24/2007,Beech 99A,N699CZ,Freight Runners Express,0,Milwaukee-Ge...,,,A1
2/2/2007,Beech B200 King Air,N777AJ,Horizon Timber Services,0,near Cape Girarde...,,,A1
2/3/2007,Beech 300 Super King Air,,Unknown,0,Yahurabila,,,A1
2/4/2007,DC-8-71F,HK-4277,TAMPA Colombia,0,Miami Intern...,,,A1
2/7/2007,BN-2A-21 Islander,RP-C1047,private,0,near Suba-Basbas,,,A1
2/8/2007,Cessna 208B Grand Caravan,N1116Y,Suburban Air Freight,0,near Alliance Air...,,,A1
2/13/2007,Canadair CRJ-100SE,N168CK,FortAero,0,Moskva-Vnuko...,,,A1
2/21/2007,Boeing 737-33A,PK-KKV,AdamAir,0,Surabaya-Jua...,,,A1
2/24/2007,Antonov An-12BP,ST-AQE,"United Arabian Airlines, op.for AZZA Transport",0,Geneina Airp...,,,A1
2/28/2007,Rockwell Sabreliner 75A,YV265T,Unknown,0,Valencia Air...,,,A1
3/3/2007,BN-2B-26 Islander,D-ILFB,LFH Luftverkehr,0,near Ruhnu Airport,,,A1
3/12/2007,Airbus A310-325,S2-ADE,Biman Bangladesh,0,Dubai Airpor...,,,A1
3/12/2007,Saab 340A,OD-IST,First Kuwaiti Trading & Contracting,0,Kuwait Inter...,,,A1
3/16/2007,DC-9-82 (MD-82),LZ-LDD,"Bulgarian Air Charter, op.for Kish Air",0,Kish Island ...,,,A1
3/23/2007,Airbus A300B4-203,YA-BAD,Ariana Afghan Airlines,0,Istanbul-Ata...,,,A1
3/29/2007,Lockheed L-188C Electra,XA-AEG,Mex-Jet Cargo,0,Panama City-...,,,A1
4/9/2007,Let L-410UVP,D6-CAK,Comores Aviation,0,Anjouan-Ouan...,,,A1
4/9/2007,Beech B200 Super King Air,VH-SGT,Network Aviation Australia,0,Perth Airpor...,,,A1
4/20/2007,DHC-8-301,C6-BFN,Bahamasair,0,Governor's H...,,,A1
4/28/2007,BN-2A-20 Islander,N634MA,McCall Aviation,0,near Hamilton-Rav...,,,A1
5/20/2007,Canadair CRJ-100ER,C-FRIL,Air Canada Jazz,0,Toronto-Pear...,,,A1
5/30/2007,ATL-98 Carvair,N898AT,Brooks Air Fuel,0,Nixon Fork M...,,,A1
6/1/2007,Shorts 330UTT,JW9036,Tanzanian AF,0,Kizota,,,A1
6/15/2007,BAe ATP-F,VT-FFB,First Flight Couriers,0,Chennai Airp...,,,A1
6/23/2007,Yakovlev Yak-40,EX-901,Kyrgyzstan Government,0,Karakuzhur,,,A1
6/26/2007,Let L-410UVP-E3,9Q-CTM,Business Aviation,0,near Brazzaville,,,A1
1/2/2008,NAMC YS-11A-500,RP-C3592,Asian Spirit,0,Masbate Airp...,,,A1
1/2/2008,Fokker 100,EP-IDB,Iran Air,0,Tehran-Mehra...,,,A1
1/3/2008,BN-2A-6R Islander,SAN-208,Servicio Aéreo Nacional - SAN,0,near Bahia Piña,,,A1
1/17/2008,Boeing 777-236ER,G-YMMM,British Airways,0,London-Heath...,,,A1
1/25/2008,Antonov An-12BP,EK11660,Aéro-Service,0,Pointe Noire...,,,A1
1/28/2008,DHC-8-202,HK-3997,AIRES Colombia,0,Bogotá-Eldor...,,,A1
2/1/2008,Boeing 727-259,CP-2429,LAB,0,near Trinidad Air...,,,A1
2/1/2008,Rockwell Sabreliner 80,N3RP,Qualint,0,Fort Lauderd...,,,A1
