Year,Deaths, est. Vehicles (millions),est. Vehicle miles (billions),est. Drivers (millions),"Deaths per 10,000 motor vehicles","Deaths per 100,000,000 vehicle miles","Deaths per 100,000 vehicle miles","Deaths per 100,000 population",,,,,,,,,,,,,,,,,,
1990,"46,814",192.9,"2,148",167.0,2.43,2.18,0.0022,18.8,,,,,,,,,,,,,,,,,,
1991,"43,536",192.5,"2,172",169.0,2.26,2.00,0.0020,17.3,,,,,,,,,,,,,,,,,,
1992,"40,982",194.4,"2,240",173.1,2.11,1.83,0.0018,16.1,,,,,,,,,,,,,,,,,,
1993,"41,893",198.0,"2,297",173.1,2.12,1.82,0.0018,16.3,,,,,,,,,,,,,,,,,,
1994,"42,524",201.8,"2,360",175.4,2.11,1.80,0.0018,16.3,,,,,,,,,,,,,,,,,,
1995,"43,363",205.3,"2,423",176.6,2.11,1.79,0.0018,16.5,,,,,,,,,,,,,,,,,,
1996,"43,649",210.4,"2,486",179.5,2.07,1.76,0.0018,16.5,,,,,,,,,,,,,,,,,,
1997,"43,458",211.5,"2,562",182.7,2.05,1.70,0.0017,16.2,,,,,,,,,,,,,,,,,,
1998,"43,501",215.0,"2,632",185.2,2.02,1.65,0.0017,16.1,,,,,,,,,,,,,,,,,,
1999,"42,401",220.5,"2,691",187.2,1.92,1.58,0.0016,15.5,,,,,,,,,,,,,,,,,,
2000,"43,354",225.8,"2,747",190.6,1.92,1.58,0.0016,15.8,,,,,,,,,,,,,,,,,,
2001,"43,788",235.3,"2,797",191.3,1.86,1.57,0.0016,15.4,,,,,,,,,,,,,,,,,,
2002,"45,380",234.6,"2,856",194.3,1.93,1.59,0.0016,15.8,,,,,,,,,,,,,,,,,,
2003,"44,757",236.8,"2,890",196.2,1.89,1.55,0.0015,15.4,,,,,,,,,,,,,,,,,,
2004,"44,933",243.0,"2,965",199.0,1.85,1.52,0.0015,15.3,,,,,,,,,,,,,,,,,,
2005,"45,343",247.4,"2,989",200.5,1.83,1.52,0.0015,15.3,,,,,,,,,,,,,,,,,,
2006,"45,316",250.8,"3,014",202.8,1.81,1.50,0.0015,15.2,,,,,,,,,,,,,,,,,,
2007,"43,945",254.4,"3,032",205.7,1.73,1.45,0.0014,14.6,,,,,,,,,,,,,,,,,,
2008,"39,790",255.9,"2,976",208.3,1.55,1.34,0.0013,13.1,,,,,,,,,,,,,,,,,,
2009,"36,216",254.2,"2,957",209.6,1.42,1.22,0.0012,11.8,,,,,,,,,,,,,,,,,,
2010,"35,332",250.3,"2,967",210.1,1.41,1.19,0.0012,11.4,,,,,,,,,,,,,,,,,,
2011,"35,303",253.2,"2,950",211.9,1.39,1.20,0.0012,11.3,,,,,,,,,,,,,,,,,,
2012,"36,415",253.6,"2,969",211.8,1.44,1.23,0.0012,11.6,,,,,,,,,,,,,,,,,,
2013,"35,369",255.9,"2,988",212.2,1.38,1.18,0.0012,11.2,,,,,,,,,,,,,,,,,,
2014,"35,398",260.3,"3,026",214.1,1.36,1.17,0.0012,11.1,,,,,,,,,,,,,,,,,,
2015,"37,757",263.6,"3,095",218.1,1.43,1.22,0.0012,11.8,,,,,,,,,,,,,,,,,,
2016,"40,327",268.8,"3,174",221.7,1.50,1.27,0.0013,12.5,,,,,,,,,,,,,,,,,,
2017,"40,231",272.5,"3,212",225.0,1.48,1.25,0.0013,12.4,,,,,,,,,,,,,,,,,,
2018,"39,404",276.6,"3,240",227.5,1.42,1.22,0.0012,12.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
